"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.590291150E-1,-2.873042107E0,-8.714894056E-1,1.014183807E1,1.057689672E1
7.640339920E-1,-2.930502892E0,-5.746083856E-1,1.079306126E1,1.119857997E1
7.690693870E-1,-2.164358377E0,-6.512228847E-1,1.053448772E1,1.077422712E1
7.741047810E-1,-1.628057122E0,-6.703764796E-1,1.044829655E1,1.059560642E1
7.791401740E-1,-1.235408068E0,-5.841852427E-1,1.031422138E1,1.040435814E1
7.841450510E-1,-8.140285611E-1,-5.650315881E-1,1.075475407E1,1.080030732E1
7.891804460E-1,-1.810016513E0,-5.363011956E-1,1.125274754E1,1.141000026E1
7.942158400E-1,-2.557007313E0,-2.873041928E-1,1.168370438E1,1.196368581E1
7.992512340E-1,-2.940079689E0,1.244984865E-1,1.136767006E1,1.174238013E1
8.042561110E-1,-2.882618904E0,2.968810201E-1,1.033337498E1,1.073202071E1
8.092915060E-1,-2.365471363E0,3.926490843E-1,9.375694275E0,9.677462023E0
8.143268990E-1,-1.742978811E0,4.596867263E-1,8.877699852E0,9.058854325E0
8.193317760E-1,-1.197100878E0,2.873041928E-1,8.944737434E0,9.029059861E0
8.243671700E-1,-1.110909581E0,2.681505978E-1,9.040505409E0,9.112450982E0
8.294025650E-1,-1.197100878E0,1.819593310E-1,9.030928612E0,9.111741398E0
8.344379590E-1,-1.589749932E0,3.447650373E-1,8.820239067E0,8.968990187E0
8.394428360E-1,-1.771709204E0,5.746083856E-1,8.599972725E0,8.799355611E0
8.444782300E-1,-2.039859772E0,8.331822157E-1,8.283937454E0,8.571979949E0
8.495136240E-1,-2.240972757E0,1.139639974E0,7.996633530E0,8.382534579E0
8.545490180E-1,-2.422932148E0,1.206677675E0,7.690176010E0,8.152636277E0
8.595538950E-1,-2.317587137E0,1.254561663E0,7.211335659E0,7.677792462E0
8.645892890E-1,-1.877054095E0,1.254561663E0,5.956773758E0,6.370275555E0
8.696246830E-1,-1.072602391E0,1.177947283E0,4.261679173E0,4.549719229E0
8.746600780E-1,-6.895300746E-1,8.331822157E-1,4.003105164E0,4.146624565E0
8.796649550E-1,-3.351882398E-1,7.661445141E-1,4.683058739E0,4.757138607E0
8.847003490E-1,-1.924938202E0,6.799532771E-1,1.539950562E1,1.553423628E1
8.897357420E-1,-3.294421434E0,1.101332784E0,8.963891029E0,9.613401525E0
8.947406190E-1,-1.522712231E0,7.086837292E-1,8.082824707E0,8.255479417E0
8.997760140E-1,-3.122039080E0,7.086837292E-1,8.571242332E0,9.149620526E0
9.048114080E-1,-9.097966552E-1,-9.576806799E-3,4.070142746E0,4.170597516E0
9.098468020E-1,-1.896207690E0,4.884171486E-1,5.410895824E0,5.754298266E0
9.148516790E-1,-2.276407051E1,-7.661445439E-2,2.164358330E1,3.141104064E1
9.198870740E-1,-3.543418646E-1,1.379060149E0,3.620033026E0,3.889987681E0
9.249224670E-1,-3.782838583E0,6.991068721E-1,2.887407303E1,2.912920719E1
9.299578610E-1,2.873041928E-1,1.082179189E0,-6.703764796E-1,1.305013456E0
9.349627380E-1,2.681505978E-1,4.022258818E-1,3.744531393E0,3.775606674E0
9.399981330E-1,-4.711789131E0,7.661445439E-2,1.606030464E1,1.673738963E1
9.450335270E-1,-2.882618904E0,-1.340752989E-1,8.695740700E0,9.162061681E0
9.500384040E-1,-2.604891539E0,2.298433632E-1,5.832275391E0,6.391691805E0
9.550737980E-1,-3.811569214E0,-9.576806426E-2,1.156878281E1,1.218088531E1
9.601091920E-1,-2.269703150E0,-7.661445439E-2,7.134721279E0,7.487434133E0
9.651445860E-1,-3.208230257E0,-8.619125932E-2,1.018014526E1,1.067405864E1
9.701494630E-1,-2.643198729E0,-3.256114423E-1,8.820239067E0,9.213530243E0
