"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.474477297E0,2.106897533E-1,7.307103634E0,7.000645638E0,1.012162008E1
1.479482183E0,9.576806426E-2,7.354987621E0,6.952761650E0,1.012155665E1
1.484517586E0,1.436520964E-1,7.402871609E0,6.828263283E0,1.007215585E1
1.489552988E0,1.340752989E-1,7.230489254E0,6.579266071E0,9.776742457E0
1.494588392E0,5.746084079E-2,7.144298077E0,6.540958881E0,9.686508135E0
1.499623795E0,1.915361360E-2,7.086836815E0,6.493074894E0,9.611641092E0
1.504628681E0,-6.703764945E-2,7.105990410E0,6.483498096E0,9.619529163E0
1.509664084E0,4.788403213E-2,7.048529625E0,6.454767704E0,9.557619414E0
1.514699488E0,1.149216816E-1,7.058106422E0,6.483498096E0,9.584665922E0
1.519734890E0,1.053448766E-1,7.105990410E0,6.540958881E0,9.658692475E0
1.524770294E0,1.053448766E-1,7.211335659E0,6.665457726E0,9.820528816E0
1.529775179E0,4.788403213E-2,7.249642849E0,6.684611320E0,9.861219135E0
1.534810583E0,4.788403213E-2,7.278373241E0,6.607996464E0,9.830698204E0
1.539845986E0,1.340752989E-1,7.077260017E0,6.627150536E0,9.696633940E0
1.544881389E0,1.436520964E-1,7.163451672E0,6.493074894E0,9.669317316E0
1.549916792E0,1.149216816E-1,7.067683220E0,6.473921299E0,9.585249609E0
1.554921678E0,1.723825186E-1,7.048529625E0,6.454767704E0,9.559053913E0
1.559957081E0,1.244984865E-1,7.163451672E0,6.607996464E0,9.746597201E0
1.564992485E0,1.532289088E-1,7.134721279E0,6.675034523E0,9.771581894E0
1.570027888E0,2.011129409E-1,7.086836815E0,6.694188118E0,9.750684951E0
1.575063290E0,1.532289088E-1,7.125144482E0,6.732495308E0,9.803961243E0
1.580068176E0,1.532289088E-1,7.163451672E0,6.607996464E0,9.747006526E0
1.585103579E0,1.436520964E-1,7.125144482E0,6.454767704E0,9.615214294E0
1.590138983E0,8.619125932E-2,7.201758862E0,6.493074894E0,9.697050129E0
1.595174386E0,6.703764945E-2,7.163451672E0,6.560112476E0,9.713630094E0
1.600179271E0,5.746084079E-2,7.182605267E0,6.569689274E0,9.734163411E0
1.605214674E0,6.703764945E-2,7.211335659E0,6.713341713E0,9.852756619E0
1.610250078E0,6.703764945E-2,7.240066051E0,6.684611320E0,9.854292414E0
1.615285481E0,6.703764945E-2,7.163451672E0,6.655880928E0,9.778562513E0
