"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.769134600E-1,2.758120298E0,1.915361404E0,1.467166805E1,1.505103586E1
8.819488550E-1,2.193088770E0,1.331176162E0,1.618480301E1,1.638687026E1
8.869842510E-1,1.522712231E0,9.002198577E-1,1.727655983E1,1.736688135E1
8.919891290E-1,8.427590132E-1,7.182605267E-1,1.797566605E1,1.800973933E1
8.970245260E-1,2.298433632E-1,6.703764796E-1,1.849281311E1,1.850638726E1
9.020599210E-1,-1.915361285E-1,6.033388376E-1,1.894292450E1,1.895349816E1
9.070953170E-1,-6.512228847E-1,5.841852427E-1,1.932599640E1,1.934578767E1
9.121001950E-1,-1.053448796E0,5.841852427E-1,1.954626274E1,1.958334532E1
9.171355920E-1,-1.905784607E0,8.714894056E-1,1.917276764E1,1.928695227E1
9.221709870E-1,-2.394201756E0,1.197100878E0,1.855985069E1,1.875188818E1
9.272063830E-1,-2.968810081E0,9.864110947E-1,1.801397324E1,1.828360117E1
9.322112610E-1,-2.959233284E0,1.158793569E0,1.778413010E1,1.806585585E1
9.372466580E-1,-2.681505919E0,1.714248419E0,1.741063499E1,1.769913367E1
9.422820530E-1,-2.260126352E0,2.240972757E0,1.708502388E1,1.737895771E1
9.473174490E-1,-2.288856745E0,2.547430515E0,1.655829811E1,1.690874045E1
9.523223270E-1,-2.336740971E0,2.997540474E0,1.573469353E1,1.618722298E1
9.573577240E-1,-2.499546528E0,3.591302633E0,1.462378407E1,1.526434564E1
9.623931190E-1,-2.518700123E0,3.715801001E0,1.331176186E1,1.404827502E1
9.674285140E-1,-2.834734917E0,3.533841610E0,1.186566353E1,1.270109167E1
9.724333930E-1,-3.361459255E0,3.275267839E0,1.044829655E1,1.145398134E1
9.774687890E-1,-3.811569214E0,3.112462282E0,8.954314232E0,1.021739814E1
9.825041850E-1,-4.156333923E0,2.624045134E0,7.623138428E0,9.070444533E0
9.875395800E-1,-4.683058739E0,1.800439715E0,7.402871609E0,8.942881548E0
9.925444590E-1,-4.424484730E0,1.235408068E0,6.244078159E0,7.751826254E0
9.975798550E-1,-4.807557106E0,9.864110947E-1,5.650316238E0,7.484095521E0
1.002615251E0,-5.219359875E0,1.235408068E0,4.807557106E0,7.202815833E0
1.007650646E0,-5.420472622E0,1.656787634E0,4.280832767E0,7.102956982E0
1.012686043E0,-5.947196960E0,2.173935175E0,3.648763418E0,7.308120163E0
1.017690920E0,-6.464344501E0,2.681505919E0,3.495534420E0,7.822850165E0
1.022726317E0,-6.732495308E0,3.007117271E0,3.648763418E0,8.226950944E0
1.027761712E0,-7.010222435E0,3.198653460E0,3.830722809E0,8.605175174E0
1.032797109E0,-6.837840080E0,3.265691042E0,4.003105164E0,8.570043518E0
1.037801986E0,-6.732495308E0,3.102885485E0,4.079719543E0,8.461589860E0
1.042837383E0,-6.435614109E0,2.700659513E0,3.696647406E0,7.897841022E0
1.047872778E0,-5.899312973E0,2.231395960E0,3.552995205E0,7.239115720E0
1.052908175E0,-5.372588634E0,1.762132406E0,3.447650433E0,6.622394790E0
1.057913052E0,-4.807557106E0,1.493981838E0,3.332728863E0,6.037521738E0
1.062948449E0,-4.616020679E0,1.273715258E0,3.217807055E0,5.769252960E0
1.067983844E0,-4.510675907E0,1.177947283E0,3.246537447E0,5.681000117E0
1.073019241E0,-4.510675907E0,1.139639974E0,3.495534420E0,5.819255733E0
1.078024118E0,-4.453215122E0,1.034295082E0,3.936067581E0,6.032704140E0
1.083059515E0,-4.577713490E0,1.005564690E0,4.434061527E0,6.451939458E0
1.088094910E0,-4.759673119E0,9.672574997E-1,4.932055473E0,6.922083968E0
1.093099789E0,-4.912901878E0,1.158793569E0,5.525817394E0,7.484254490E0
1.098135184E0,-5.276820660E0,1.283292055E0,6.320692539E0,8.333236403E0
1.103170581E0,-5.525817394E0,1.570596337E0,6.770802498E0,8.879481809E0
1.108205976E0,-4.903325081E0,2.288856745E0,7.316680431E0,9.100289808E0
1.113241373E0,-3.840299606E0,3.447650433E0,7.613561630E0,9.197853840E0
1.118246250E0,-4.884171486E0,3.524264812E0,8.303091049E0,1.025752868E1
1.123281647E0,-6.215347767E0,3.476380825E0,8.992621422E0,1.147096385E1
1.128317042E0,-7.776367188E0,2.959233284E0,9.548076630E0,1.266470353E1
1.133352439E0,-9.107542992E0,2.097320795E0,9.854534149E0,1.358152926E1
1.138357316E0,-9.787496567E0,9.097966552E-1,9.931148529E0,1.397320758E1
1.143392712E0,-9.701305389E0,-4.405331016E-1,1.004607010E1,1.397257743E1
1.148428108E0,-9.816226959E0,-1.800439715E0,1.028549004E1,1.433147585E1
1.153463504E0,-1.025675964E1,-2.844311714E0,1.031422138E1,1.482141661E1
1.158468382E0,-1.074517727E1,-3.198653460E0,1.030464458E1,1.522747249E1
1.163503778E0,-1.148259163E1,-2.825158119E0,1.025675964E1,1.565351549E1
1.168539174E0,-1.199973869E1,-1.982398987E0,1.034295177E1,1.596559695E1
1.173574570E0,-1.226788998E1,-6.703764796E-1,1.043871975E1,1.612195395E1
1.178579448E0,-1.169328117E1,5.841852427E-1,1.074517727E1,1.589128477E1
1.183614844E0,-1.020887566E1,1.522712231E0,1.128147888E1,1.529089796E1
1.188650240E0,-8.226476669E0,2.173935175E0,1.194227791E1,1.466352325E1
1.193685636E0,-5.918466568E0,2.576161146E0,1.287122822E1,1.439907527E1
1.198690514E0,-3.801992416E0,2.949656487E0,1.361821938E1,1.444339014E1
1.203725910E0,-2.097320795E0,3.629609823E0,1.451843929E1,1.511151553E1
1.208761306E0,-1.426944256E0,4.683058739E0,1.560061836E1,1.635073400E1
1.213796702E0,-1.225831270E0,5.267243862E0,1.681687355E1,1.766504334E1
1.218801580E0,-1.254561663E0,5.276820660E0,1.845450592E1,1.923506044E1
