"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.250245716E0,8.714894056E-1,-5.075707436E-1,3.020524788E1,3.022208003E1
1.255250589E0,1.331176162E0,-5.363011956E-1,2.789723778E1,2.793412831E1
1.260285980E0,1.637633920E0,-5.937620401E-1,2.527319336E1,2.533315418E1
1.265321371E0,1.972822189E0,-4.213795066E-1,2.262041855E1,2.271019426E1
1.270326243E0,2.432508945E0,-3.256114423E-1,1.979525948E1,1.994681479E1
1.275361635E0,2.777273893E0,-1.723825186E-1,1.720952225E1,1.743303250E1
1.280397025E0,2.873042107E0,3.830722719E-2,1.479616642E1,1.507257042E1
1.285432416E0,3.007117271E0,2.681505978E-1,1.258392429E1,1.294101270E1
1.290437289E0,2.863465309E0,5.650315881E-1,1.053448772E1,1.093133688E1
1.295472680E0,2.681505919E0,7.948749661E-1,8.791508675E0,9.225666641E0
1.300508070E0,2.901772499E0,4.692635238E-1,6.646304131E0,7.267313843E0
1.305543462E0,3.064578056E0,1.244984865E-1,4.788403511E0,5.686470498E0
1.310548334E0,3.150769472E0,-1.915361360E-2,3.265691042E0,4.537890822E0
1.315583725E0,3.189076662E0,-1.053448766E-1,2.030282974E0,3.781977850E0
1.320619116E0,3.074155092E0,-6.703764945E-2,1.024718285E0,3.241137322E0
1.325654507E0,2.987963676E0,-2.489969730E-1,2.298433632E-1,3.007117290E0
1.330659379E0,3.141192675E0,-3.734954596E-1,-4.309563041E-1,3.192540307E0
1.335694771E0,3.342305660E0,-6.129156351E-1,-1.034295082E0,3.551962700E0
1.340730161E0,3.648763418E0,-8.714894056E-1,-1.407790542E0,4.006849445E0
1.345765552E0,3.773261786E0,-1.149216771E0,-1.742978811E0,4.312328701E0
1.350770425E0,3.869029999E0,-1.426944256E0,-1.810016513E0,4.503523378E0
1.355805816E0,3.945644379E0,-1.704671621E0,-1.915361404E0,4.705594990E0
1.360841206E0,3.983951569E0,-2.097320795E0,-1.886630893E0,4.881598175E0
1.365846080E0,3.993528366E0,-2.375048161E0,-1.877054095E0,5.011232848E0
1.370881470E0,3.974374771E0,-2.576161146E0,-1.723825216E0,5.040221667E0
1.375916861E0,3.974374771E0,-2.652775526E0,-1.532289028E0,5.018045683E0
1.380952252E0,4.003105164E0,-2.700659513E0,-1.379060149E0,5.021973681E0
1.385957125E0,3.964797974E0,-2.681505919E0,-1.197100878E0,4.933877529E0
1.390992516E0,4.012681961E0,-2.633621931E0,-1.091755986E0,4.922348233E0
1.396027907E0,4.089296341E0,-2.413355350E0,-9.002198577E-1,4.832910552E0
1.401063297E0,4.089296341E0,-2.221819162E0,-7.757213712E-1,4.718110702E0
1.406068171E0,3.926490784E0,-1.953668594E0,-6.895300746E-1,4.439549817E0
1.411103561E0,3.955221176E0,-1.742978811E0,-7.182605267E-1,4.381512053E0
1.416138952E0,4.108449936E0,-1.522712231E0,-1.206677675E0,4.544676493E0
1.421174343E0,4.338293552E0,-1.312022567E0,-1.742978811E0,4.855941649E0
1.426179216E0,4.481945515E0,-1.158793569E0,-2.566584110E0,5.293202445E0
1.431214606E0,4.558559895E0,-9.959878922E-1,-3.418920040E0,5.784589392E0
1.436249998E0,4.395754337E0,-9.576807022E-1,-4.367023945E0,6.269825090E0
1.441285388E0,4.242525578E0,-9.193734527E-1,-5.410895824E0,6.937006879E0
1.446290261E0,4.041412354E0,-1.082179189E0,-6.138733387E0,7.428874289E0
1.451325652E0,3.801992416E0,-1.120486379E0,-6.837840080E0,7.903587351E0
1.456361043E0,3.390189648E0,-1.321599364E0,-7.374141216E0,8.223014618E0
1.461396433E0,2.729389906E0,-1.474828243E0,-7.661445618E0,8.265738718E0
1.466401307E0,2.164358377E0,-1.656787634E0,-7.785943985E0,8.249261554E0
1.471436697E0,1.762132406E0,-1.857900500E0,-7.594407558E0,8.014482582E0
1.476472088E0,1.292868972E0,-1.924938202E0,-7.211335659E0,7.574975858E0
1.481476961E0,7.852981687E-1,-2.030282974E0,-6.521805286E0,6.875513534E0
1.486512352E0,1.819593310E-1,-1.982398987E0,-5.391742229E0,5.747512437E0
1.491547742E0,-3.830722570E-1,-1.685518026E0,-4.060565948E0,4.413152070E0
1.496583134E0,-7.948749661E-1,-1.292868972E0,-2.624045134E0,3.031327969E0
1.501588006E0,-9.768342972E-1,-8.140285611E-1,-1.082179189E0,1.669718401E0
1.506623397E0,-1.273715258E0,-2.394201756E-1,3.447650373E-1,1.341094892E0
1.511658788E0,-1.618480325E0,3.639186621E-1,1.972822189E0,2.577584673E0
1.516694179E0,-2.193088770E0,1.340752959E0,3.706224203E0,4.510360816E0
1.521699052E0,-2.499546528E0,2.403778553E0,5.420472622E0,6.434858788E0
1.526734443E0,-2.489969730E0,3.581725836E0,7.220912457E0,8.436248332E0
1.531769833E0,-1.915361404E0,4.874594688E0,8.877699852E0,1.030746513E1
1.536805225E0,-9.672574997E-1,6.052541733E0,1.039083576E1,1.206392624E1
1.541810097E0,1.915361360E-2,7.220912457E0,1.205719948E1,1.405410982E1
1.546845488E0,1.110909581E0,8.331821442E0,1.429817295E1,1.658587105E1
1.551880879E0,2.116474390E0,9.471462250E0,1.697010231E1,1.954923102E1
1.556916270E0,3.208230257E0,1.062067890E1,1.939303398E1,2.234236623E1
1.561921142E0,4.548983097E0,1.143470764E1,2.136585617E1,2.465655280E1
1.566956534E0,5.870582581E0,1.178904915E1,2.293645287E1,2.644855931E1
1.571991924E0,7.556100368E0,1.165497398E1,2.439212608E1,2.806971475E1
1.577027315E0,9.481039047E0,1.130063248E1,2.500504303E1,2.903182000E1
1.582032188E0,1.117613316E1,1.080263805E1,2.621171951E1,3.047387703E1
1.587067579E0,1.237323475E1,1.020887566E1,2.657563972E1,3.104162862E1
1.592102969E0,1.313937855E1,9.481039047E0,2.737051392E1,3.180689237E1
1.597138361E0,1.330218506E1,8.724471092E0,2.832819366E1,3.248924560E1
